Date,Open,High,Low,Close,Adj_Close,Volume
12/31/2020,156.529999,157.660004,155.110001,157.380005,157.380005,5098600
1/4/2021,157.240005,157.380005,154.130005,156.5,156.5,11765900
1/5/2021,156.25,158.759995,155.070007,158.339996,158.339996,9602300
1/6/2021,157.240005,160.229996,156.720001,159.830002,159.830002,8230100
1/7/2021,159,161.029999,158.350006,160.369995,160.369995,7747200
1/8/2021,160.509995,161.100006,159.880005,160.039993,160.039993,8227700
1/11/2021,160.559998,161.320007,158.770004,159.369995,159.369995,7068200
1/12/2021,159.149994,159.660004,157.330002,158.130005,158.130005,6903200
1/13/2021,158.229996,158.460007,156.75,157.889999,157.889999,6643100
1/14/2021,160.449997,161.949997,159.610001,160.649994,160.649994,10030800
1/15/2021,160.300003,161.410004,159.110001,160.300003,160.300003,7618800
1/19/2021,162,163.039993,161.100006,162.779999,162.779999,9057600
1/20/2021,163.199997,164.139999,161.800003,162.380005,162.380005,6839900
1/21/2021,161.320007,162.479996,160.059998,161.729996,161.729996,6822800
1/22/2021,162.360001,165.160004,161.869995,163.550003,163.550003,8125300
1/25/2021,165.009995,166.089996,163.660004,165.979996,165.979996,9924400
1/26/2021,169.699997,173.649994,169.389999,170.479996,170.479996,14205700
1/27/2021,169.119995,170.919998,167.449997,167.880005,167.880005,14207300
1/28/2021,168.199997,170.860001,167.800003,169.160004,169.160004,8944400
1/29/2021,164.259995,166,160.552704,163.130005,163.130005,22441469
Sums,37187.92996,37553.69995,36793.03267,37175.53999,36741.14655,2083928469
Averages,146.9878655,148.4335966,145.4270066,146.9388932,145.2219231,8236871.419
